Na2O_coal ,MgO_coal,Al2O3_coal,SiO2_coal,p2o5_coal,K2O_coal,TiO2_coal,MnO2_coal,Fe2O3_coal,CaO_coal,SO3_coal,na20_flyash,MgO_flyash,Al2O3_flyash,SiO2_flyash,p2o5_flyash,K2O_flyash,TiO2_flyash,MnO2_flyash,Fe2O3_flyash,CaO_flyash,SO3_flyash
0.55,1.86,14.5,28.61,0.16,2.23,0.29,0.14,12.89,16.58,24.09,1.23,3.33,16.18,32.77,0.21,2.59,0.25,0.24,15.88,36.47,3.38
1.1,2.09,10.38,33.41,0.18,2.11,0.36,0.14,11.8,15.65,16.41,1.6,2.91,11.14,37.8,0.19,2.84,0.41,0.19,14.52,22.19,3.38
1.06,2.57,18.29,31.76,0.18,2.03,0.23,0.13,12.28,20.04,23.07,2,3.93,18,39.56,0.2,2.36,0.28,0.2,14.15,29.7,3.38
0.48,1.73,13.04,30.11,0.17,2.35,0.33,0.1,11.5,12.55,25.28,1.01,2.7,14.43,32.4,0.2,2.96,0.37,0.15,14.55,19.66,3.6875
1.25,2.49,11.3,34.13,0.14,2.17,0.31,0.14,11.65,18.88,24.02,1.68,3.02,8.3,39.48,0.14,2.63,0.34,0.18,12.99,24.85,3.6875
1.11,2.44,21.01,32.89,0.16,2.24,0.25,0.14,11.53,19.77,19.05,1.73,3.15,22.86,35.94,0.2,2.66,0.35,0.2,14.2,25.69,4.0525
0.63,1.55,16.38,32.55,0.2,2.24,0.39,0.08,11.52,8.26,20.03,0.86,1.81,15.01,35.34,0.23,2.66,0.4,0.09,13.95,8.77,3.455
0.75,1.92,10.88,31.84,0.16,2.34,0.31,0.11,11.75,13.78,17.5,1.75,2.99,12.85,33.39,0.21,2.66,0.35,0.16,14.84,23.28,3.455
1.26,2.64,17.38,34.19,0.17,2.26,0.25,0.14,11.73,20.39,23.53,1.94,3.42,15.29,35.98,0.2,2.63,0.3,0.2,14.53,27.15,1.1775
0.43,1.63,12.42,33.98,0.17,2.27,0.34,0.11,11.51,13.66,22.71,1.55,3.11,15.72,37.09,0.2,2.8,0.35,0.17,13.56,23.74,3.1325
1.01,2.42,13.4,34.46,0.15,2.19,0.29,0.14,11.95,18.43,24.4,1.37,2.89,15.43,38.16,0.19,2.69,0.34,0.17,14.47,23.07,3.1325
1.02,2.4,14.05,33.45,0.13,2.05,0.32,0.12,12.07,17.42,17.6,1.29,2.82,14.16,36.59,0.16,2.6,0.32,0.19,14.95,23.26,2.6425
0.98,2.47,19.17,30.71,0.17,2.3,0.29,0.14,13.24,16.89,25.39,1.74,3.15,19.69,35.21,0.2,2.94,0.33,0.18,16.43,23.9,2.52
0.64,1.88,13.1,32.89,0.13,1.75,0.36,0.1,12.32,10.3,17.13,0.85,2.12,14.87,37.56,0.14,2.47,0.39,0.14,14.75,12.21,4.0475
0.92,2.29,19.65,27.11,0.12,2.03,0.26,0.16,13.64,17.71,12.76,1.35,3.06,21.74,33.3,0.13,2.59,0.3,0.18,16.35,22.51,3.44
0.59,1.65,19.53,29.22,0.15,2.07,0.36,0.1,12.87,8.87,16.68,0.71,1.91,20.4,32.58,0.18,2.55,0.4,0.1,16.13,9.93,3.6075
0.58,1.69,17.62,31.17,0.14,2.2,0.36,0.1,12.03,8.99,17.03,0.86,2.06,19.1,35.84,0.16,2.78,0.36,0.12,15.13,12.11,2.24
0.54,1.74,18.08,32.29,0.17,2.28,0.32,0.11,12.24,11.62,19.6,0.75,2.04,20.82,36.99,0.19,2.79,0.33,0.13,14.68,15.08,2.595
0.51,1.72,13.3,32.45,0.17,1.97,0.34,0.1,12.39,11.12,16.8,0.7,1.92,15.75,35.41,0.21,2.37,0.39,0.1,14.95,11.33,2.51
1.07,2.31,10.9,29.12,0.17,1.95,0.27,0.12,14.17,15.97,20.33,1.59,3.04,12.98,31.8,0.19,2.37,0.34,0.15,16.26,20.5,2.9125
1.27,2.72,13.95,28.75,0.18,1.84,0.24,0.13,13.09,18.4,19.18,2.06,3.88,16.98,31.19,0.22,2.48,0.3,0.19,16.12,25.24,3.525
0.86,2.38,8.8,26.23,0.2,2.35,0.28,0.15,13.55,15.38,20.25,1.31,3.13,11.05,32.3,0.26,2.82,0.33,0.17,16.11,18.56,2.225
1.13,2.59,10.99,35.18,0.17,2.19,0.2,0.14,12.25,21.84,16.48,1.85,3.58,12.8,39.3,0.2,2.6,0.25,0.2,14.32,28.76,2.2475
1.28,2.72,10.71,33.26,0.16,2.14,0.26,0.15,11.74,19.74,13.98,1.98,3.81,14.02,36.31,0.21,2.65,0.3,0.2,14.45,26.89,3.97
1.26,2.59,10.71,31.68,0.17,2.12,0.24,0.14,12.27,18.68,17.99,1.94,3.69,12.86,37.03,0.19,2.72,0.31,0.18,14.51,23.58,3.375
1.27,2.76,12.18,31.06,0.19,2.32,0.25,0.13,12.61,18.67,15.31,1.95,3.91,15.17,36.86,0.18,2.85,0.3,0.19,15,25.48,3.38
1.14,2.42,7.74,35.68,0.19,1.89,0.28,0.13,11.49,16.7,16.64,1.78,3.4,17.63,39.94,0.26,2.72,0.35,0.18,13.08,21.68,3.4275
1.28,3.09,10.39,30.69,0.18,2.21,0.18,0.19,13.89,23.12,16.61,1.15,2.59,10.07,35.76,0.23,2.83,0.34,0.16,13.69,17.49,3.0675
1.16,2.79,11.04,32.37,0.16,2.19,0.21,0.14,12.1,21.28,17.27,1.99,4.12,13.7,38.12,0.25,2.78,0.24,0.22,13.98,31.82,2.75
1.23,2.69,12.6,39.64,0.14,1.85,0.27,0.14,9.04,18.25,16.5,1.89,3.6,11.41,46.4,0.2,2.5,0.33,0.19,10.3,24.53,1.65
1.07,2.48,16.21,33.08,0.18,1.91,0.25,0.13,10.51,16.19,13.57,1.69,3.58,16.14,39.92,0.22,2.39,0.26,0.19,12.65,27.19,2.0725
1.11,2.27,10.22,33.86,0.19,1.96,0.31,0.11,9.67,12.3,15.04,1.58,3.42,15.27,36.62,0.16,2.67,0.34,0.18,11.54,20.07,2.6175
1.15,2.98,10.28,34.62,0.14,2.09,0.22,0.14,10.12,20.35,16.77,1.57,3.44,18.36,42.46,0.21,2.78,0.31,0.17,11.22,21.68,2.2175
1.13,2.91,16.73,36.64,0.15,2.08,0.23,0.15,10.22,21.48,17.36,1.01,2.36,16.33,44.07,0.18,2.61,0.38,0.13,11.29,15.91,2.1275
0.75,2,16.44,39.04,0.13,2.06,0.34,0.09,9.92,11.48,16.19,1.23,2.84,17.67,43.55,0.17,2.58,0.35,0.16,11.98,21.46,2.39
0.59,1.82,17.55,41.41,0.12,2.18,0.33,0.09,9.36,12.81,19.31,0.88,2.4,18.27,45.58,0.17,2.78,0.34,0.13,10.18,17.79,2.7075
